tanggal,bulan,nama_kategori,pengeluaran/pemasukan,tipe,saldo_awal,jumlah,sisa_saldo,Status,label_kategori,status_label
2024-01-01 00:00:00,1,1,Steam Wallet,1,2500000,1685264,814736,2,Keinginan,Boros
2024-01-01 01:48:00,1,0,Skincare Dasar,1,814736,359817,454919,2,Kebutuhan,Boros
2024-01-01 03:36:00,1,2,Crypto Bitcoin,1,454919,38370,416549,2,Tabungan,Boros
2024-01-01 05:24:00,1,2,Reksa Dana Pasar Uang,1,416549,59443,357106,2,Tabungan,Boros
2024-01-01 07:12:00,1,0,Bonus Akhir Tahun,0,357106,902306,1259412,1,Kebutuhan,Normal
2024-01-01 09:00:00,1,0,Fee Freelance,0,1259412,12271174,13530586,1,Kebutuhan,Normal
2024-01-01 10:48:00,1,0,Uang Saku Orang Tua,0,13530586,13297893,26828479,1,Kebutuhan,Normal
2024-01-01 12:36:00,1,0,Cashback E-Wallet,0,26828479,14567532,41396011,1,Kebutuhan,Normal
2024-01-01 14:24:00,1,0,Dividen Saham,0,41396011,2827593,44223604,1,Kebutuhan,Normal
2024-01-01 16:12:00,1,2,Saham Bluechip,1,44223604,4042405,40181199,0,Tabungan,Hemat
2024-01-01 18:00:00,1,1,Shopping Mall,1,40181199,1470519,38710680,0,Keinginan,Hemat
2024-01-01 19:48:00,1,0,Asuransi Bpjs,1,38710680,349163,38361517,0,Kebutuhan,Hemat
2024-01-01 21:36:00,1,1,Spotify Premium,1,38361517,988896,37372621,0,Keinginan,Hemat
2024-01-01 23:24:00,1,0,Bensin Pertamax,1,37372621,76151,37296470,0,Kebutuhan,Hemat
2024-01-02 01:12:00,1,0,Token Listrik,1,37296470,191654,37104816,0,Kebutuhan,Hemat
2024-01-02 03:00:00,1,0,Token Listrik,1,37104816,387195,36717621,0,Kebutuhan,Hemat
2024-01-02 04:48:00,1,0,Air Galon,1,36717621,22022,36695599,0,Kebutuhan,Hemat
2024-01-02 06:36:00,1,0,Insentif Projek,0,36695599,1687331,38382930,1,Kebutuhan,Normal
2024-01-02 08:24:00,1,0,Iuran Sampah,1,38382930,370890,38012040,0,Kebutuhan,Hemat
2024-01-02 10:12:00,1,2,Tabungan Dana Darurat,1,38012040,1896954,36115086,0,Tabungan,Hemat
2024-01-02 12:00:00,1,0,Bonus Akhir Tahun,0,36115086,6951971,43067057,1,Kebutuhan,Normal
2024-01-02 13:48:00,1,2,Deposito Bank,1,43067057,793898,42273159,0,Tabungan,Hemat
2024-01-02 15:36:00,1,2,Tabungan Haji,1,42273159,4558321,37714838,0,Tabungan,Hemat
2024-01-02 17:24:00,1,1,Tiket Bioskop Xxi,1,37714838,1242220,36472618,0,Keinginan,Hemat
2024-01-02 19:12:00,1,1,Keanggotaan Gym,1,36472618,260052,36212566,0,Keinginan,Hemat
2024-01-02 21:00:00,1,0,Belanja Sayur,1,36212566,305040,35907526,0,Kebutuhan,Hemat
